Центральный офис                   ;MOCO
Тех.ЦО для векс.цен.               ;MOVC
Технический ЦО                     ;MOVB
Технический ЦО 1                   ;MOVD
Технический ЦО 2                   ;MOVE
Технический ЦО 3                   ;MOVG
Технический ЦО 4                   ;MOVJ
Технический ЦО 5                   ;MOVI
Технический ЦО 6                   ;MOVK
Технический ЦО 7                   ;MOVL
Бэк офисУООКБ                      ;MOVF
Технический ЦО Кипр                ;MOKI
Технический Д/Р Ф-л Ярославский    ;MOVN
Технический Д/Р Ф-л Липецккий      ;MOLT
Технический Д/Р Ф-л Воронежский    ;MOVU
Технический Д/Р прош.лет филиалы   ;MOTD
Бэк офис КБ                        ;MOBK
"ДО ""Проспект Мира""                 ";MOPM
"ДО ""Покровка""                      ";MOPK
"ДО ""Пятницкая""                     ";MOPY
"ДО ""Красная Пресня""                ";MOKP
ДО Октябрьская                     ;MOOK
"ДО ""Ленинградский проспект""        ";MOSO
ДО Волгоградский проспект          ;MOVP
ДО Тверская                        ;MOTV
Центральный офис V                 ;MOSB
ДО Бауманская                      ;MOBM
ДО Перово                          ;MOPE
ДО Медведково                      ;MOMD
ДО Полярная                        ;MOPL
ДО Отрадное                        ;MOOT
"ДО ""Полянка""                       ";MOPO
ДО Якиманка                        ;MOYA
"ДО ""Ленинский проспект""            ";MOLP
ДО Кутузовский проспект            ;MOKT
ДО Тверская-Ямская                 ;MOTY
ДО Арбат (закрыт)                  ;MOAR
ДО Арбат (ТРБ)                     ;MOAT
ДО Кузнецкий мост                  ;MOKM
ДО Земляной вал                    ;MOZV
ДО Жулебино                        ;MOJU
(закрыт) ДО Ленинградский проспект ;MOLG
ДО Люберецкий                      ;MOLU
"ДО ""Сокол""                         ";MOEK
"ДО ""Образцова""                     ";MOOB
"ДО ""Нагатинский"" (Бизнес Центр)    ";MONG
"ДО ""Варварка"" (Бизнес Центр)       ";MOBB
"ОО ""Ярославский""                   ";MOYR
"ОО ""Тульский""                      ";MOTU
"ОО ""Липецкий""                      ";MOLK
"ОО ""Воронежский""                   ";MOVH
"ОО ""Автомир"" АО ""АЛЬФА-БАНК""       ";MOVT
"ОКВКУ ""Артекс""                     ";MODK
"ОКВКУ ""Строймонтаж""                ";MODL
"ОКВКУ ""Автокей Северянин""          ";MODM
"ОКВКУ ""Пересвет""                   ";MODN
"ОКВКУ ""Диамант""                    ";MODO
"ОКВКУ ""Диамант-2""                  ";MODP
